#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
377,FUTURE,future perfect simple,B2,N/A,USE: EVENTS COMPLETED IN THE FUTURE,Can use the future perfect simple with 'will' to talk about something which is expected to be completed (or not completed) by a certain point in the future.,"There is no problem if you want to leave at 4.30 pm as the match will have finished by that time. (Greece; B2 VANTAGE; 2008; Greek; Pass)

First of all, if you go to work by bicycle every day, at the end of the month you will have saved more money because you won't have spent it buying petrol. (Spain; B2 VANTAGE; 1993; Catalan; Pass)"
378,FUTURE,future perfect simple,C1,N/A,FORM: WITH ADVERBS,Can use the future perfect with adverbs (in the normal mid-position).,"If you have ever read a fairytale by Hans Christian Andersen you will surely have discovered why this man is so famous worldwide. (Denmark; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2001; Danish; Pass)

However, sales will possibly have fallen to 5000 units again by the end of the year. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2006; German; Pass)"
379,FUTURE,future perfect simple,C1,N/A,USE: ASSUMPTIONS,"Can use the future perfect simple with 'will' to make assumptions about the present, particularly with 'you'.","As you will have heard, this year's work experience programme in Britain was in general a success. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Greek; Pass)

All of this is because her book will have included the cultural traditions that go with the dishes. (Brazil; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Portuguese; Pass)"
380,FUTURE,future perfect simple,C1,N/A,USE: POLITENESS,"Can use the future perfect simple with 'will' as a politeness strategy, often in formal contexts.",[from a formal letter] I hope I will have reassured you. (France; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; French; Pass)
381,FUTURE,future perfect simple,C2,N/A,FORM: QUESTIONS,Can use the question form of the future perfect simple.,"Will he have changed? (Spain; C2 MASTERY; 1998; Catalan; Fail)
"
382,FUTURE,future with will and shall,A1,N/A,FORM: AFFIRMATIVE 'WILL',Can use the affirmative forms 'will' and ''ll'.,"I will see you soon. (A1 BREAKTHROUGH; 2009; Urdu; Pass)

I'll come at 7 o'clock. (A1 BREAKTHROUGH; 2006; Others; Pass)"
383,FUTURE,future with will and shall,A1,N/A,USE: PLANS AND INTENTIONS WITH 'WILL',Can use 'will' and ''ll' to talk about plans and intentions.,"I will try to come to see you tomorrow. (A1 BREAKTHROUGH; 2009; Romanian; Pass)

I'll bring a football ball with me. (A1 BREAKTHROUGH; 2011; Bulgarian; Pass)"
384,FUTURE,future with will and shall,A2,N/A,FORM: AFFIRMATIVE 'SHALL',Can use the affirmative form 'shall' with 'I' and 'we'.,"I shall come with you. (India; A2 WAYSTAGE; 2003; Hindi; Pass)

We shall take a bus to the sports centre. (Hindi, A2 WAYSTAGE, Pass, 2008)

We shall go together next year! (Brazil; A2 WAYSTAGE; 2007; Portuguese; Pass))"
385,FUTURE,future with will and shall,A2,N/A,FORM: NEGATIVE 'WILL',Can use the negative forms 'will not' and 'won't'.,"Without them I will not be able to play football. (Spain; A2 WAYSTAGE; 2005; Spanish - European; Pass)

Can you come at 7 o'clock? I won't be at home before.  (Italy; A2 WAYSTAGE; 2009; Italian; Pass)"
386,FUTURE,future with will and shall,A2,N/A,FORM: QUESTIONS,Can use the question forms of 'will' and 'shall'.,"Will you come? (Russia; A2 WAYSTAGE; 2006; Russian; Pass)

And what shall I bring to the party? (Italy; A2 WAYSTAGE; 2009; Italian; Pass)"
387,FUTURE,future with will and shall,A2,N/A,USE: OFFERS WITH 'SHALL',Can use 'shall I' to make offers.,"Shall I wait for you? (Mexico; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

Shall I buy you one? (Spanish - European, A2 WAYSTAGE, Pass, 2010)"
388,FUTURE,future with will and shall,A2,N/A,USE: PLANS AND  INTENTIONS WITH 'WILL',Can use 'will' to ask about plans and intentions.,"Will you have a mobile phone? (France; A2 WAYSTAGE; 2007; French; Pass)

Will you come by train? (Switzerland; A2 WAYSTAGE; 2009; Spanish - Other; Pass)"
389,FUTURE,future with will and shall,A2,N/A,USE: REQUESTS WITH 'WILL',Can use 'will' to make requests.,"Will you come tomorrow at 6.35 pm to my house? (Italy; A2 WAYSTAGE; 2009; Italian; Pass)

[talking about a parcel] Will you send it for me? (Sri Lanka; A2 WAYSTAGE; 2005; Tamil; Pass)"
390,FUTURE,future with will and shall,A2,N/A,USE: SUGGESTIONS WITH 'SHALL',Can use 'shall we' to make suggestions.,"Shall we go to my friend's house to get it? (Brazil; A2 WAYSTAGE; 2005; Portuguese; Pass)

Shall we go there together? (Kazakhstan; A2 WAYSTAGE; 2009; Kazakh; Pass)"
391,FUTURE,future with will and shall,A2,N/A,USE: WILLINGNESS WITH 'WILL',Can use 'will' to express willingness.,"My mother will drive us there. (Malaysia; A2 WAYSTAGE; 2008; Malay; Pass)

… and my elder sister will help us too. (Bangladesh; A2 WAYSTAGE; 2006; Bengali; Pass)"
392,FUTURE,future with will and shall,B1,N/A,USE: FIXED PLANS WITH 'WILL',"Can use 'will' to talk about fixed plans, often with timetabled times and dates.","The work will start at 8 a.m. and finish at 2 p.m. The new schedule starts on 1 June. (Russia; B1 THRESHOLD; 2007; Russian; Pass)

I won't be able to get there at the time we agreed. (Mexico; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)"
393,FUTURE,future with will and shall,B1,N/A,USE: PREDICTIONS WITH 'WILL',Can use 'will' and '‘ll' to make predictions.,"It will be hotter because of global warming.  (2246945_2; PET; Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)

But, if you go on holiday with your parents, there are some advantages too: you will not have money problems and your parents will not worry about you too much! (Italy; B1 THRESHOLD; 2008; Italian; Pass)

I won't live here in the future, because in March I'm moving to Lima, to study at the university. (Peru; B1 THRESHOLD; 2007; Spanish - Latin American; Pass)"
394,FUTURE,future with will and shall,B1,N/A,USE: IMMEDIATE PLANS WITH 'SHALL',Can use 'shall' with 'I' and 'we' to talk about plans and intentions.,"I promise that I shall cover all the work and give it to you tomorrow. (Thai, B1 THRESHOLD, Pass, 2006)

After that, I shall go to the beach. (Yugoslavia; B1 THRESHOLD; 2001; Serbian; Pass)

We shall have a meeting regarding this next week. (India; B1 THRESHOLD; 2006; Telugu; Pass)"
395,FUTURE,future with will and shall,C1,N/A,FORM: NEGATIVE 'SHALL',Can use the negative form 'shall not'.,"However, we shall not forget to mention the legal and social consequences of such a merger to the average employees. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Swiss German; Pass)

Therefore, my client shall not release you from the agreement, which is binding upon both parties. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; German; Pass)"
396,FUTURE,future with will and shall,C2,N/A,USE: LONG-TERM INTENTIONS WITH 'SHALL',Can use 'shall' to talk about long-term intentions.,"I must believe, believe in myself and in everybody else, and mainly in what I look for, this way I shall never lose hope. (Mexico; C2 MASTERY; 1993; Spanish - Latin American; Pass)

I shall always remember it as the city of lights. (Switzerland; C2 MASTERY; 1997; French; Pass)

I shall always keep it in mind, in order to keep my children close to me and avoid being hated. (France; C2 MASTERY; 1993; French; Pass)

I came to the conclusion that the Excel Academy is not worth the money our company paid and that we shall not send further candidates there. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; German; Pass)"
397,FUTURE,future with will and shall,C2,N/A,USE: PREDICTIONS WITH 'SHALL',"Can use 'shall' to make predictions, usually in formal contexts.","Once more I invite you wholeheartedly to stay at my place and I hope we shall meet in November. (Poland; C2 MASTERY; 1998; Polish; Pass)

… we shall probably have several years more to live. (France; C2 MASTERY; 1993; French; Pass)"
398,FUTURE,future with be going to,A2,N/A,FORM: AFFIRMATIVE,Can use the affirmative form.,"[about some new jeans] I 'm going to wear them on holiday. (Turkey; A2 WAYSTAGE; 2008; Turkish; Pass)

It is going to start at half past four. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)

[about the weather] It's going to be hot. (Taiwan; A2 WAYSTAGE; 2008; Chinese; Pass)

We are going to take a taxi to get to the sports centre. (Brazil; A2 WAYSTAGE; 2008; Portuguese; Pass)"
399,FUTURE,future with be going to,A2,N/A,FORM: QUESTIONS,Can use the question form.,"What are you going to wear? (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

What colour paint are we going to use? (India; A2 WAYSTAGE; 2006; Hindi; Pass)

Are you going to come tomorrow evening? (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)"
400,FUTURE,future with be going to,A2,N/A,USE: INTENTIONS,Can use the affirmative and question forms of 'be going to' talk about plans and intentions.,"I'm going to use pink paint. (Brazil; A2 WAYSTAGE; 2006; Portuguese; Pass)

My mum is going to take us by car. (Uruguay; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)

What time are you going to come? And what are you going to bring?  (Turkey; A2 WAYSTAGE; 2009; Turkish; Pass)"
401,FUTURE,future with be going to,A2,1,USE: PREDICTIONS WITH 'BE',Can use 'be going to' with 'be' to make predictions.,"I think this Saturday is going to be a nice day. (Mexico; A2 WAYSTAGE; 2003; Spanish - Latin American; Pass)

It's going to be fantastic. (Peru; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)

It is going to be great fun. (India; A2 WAYSTAGE; 2009; Tamil; Pass)

You should wear comfortable clothes because you are going to be hot. (Peru; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)"
402,FUTURE,future with be going to,B1,N/A,FORM: NEGATIVE,Can use the negative form.," I am not going to go to school tomorrow. (Mexico; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

Also you can do whatever you want because there is not going to be an adult there to stop you. (Cyprus; B1 THRESHOLD; 2008; Greek; Pass)"
403,FUTURE,future with be going to,B1,N/A,FORM: PAST,Can use the past form of 'be' + 'going to'. ► future in the past,"When we realized it was going to be an extremely hot day, we took water. (Argentina; B1 THRESHOLD; 2003; Spanish - Latin American; Pass)

We were going to meet at 11.30 am but instead we will meet now at 2.30 pm at the same place. (India; B1 THRESHOLD; 2008; Hindi; Pass)"
404,FUTURE,future with be going to,B1,1,FORM: WITH ADVERBS,"Can use 'be' + 'going to' with a limited range of adverbs, after the auxiliary be form, in the normal mid position. ","I know that I 'm never going to forget this moment. (Spain; B1 THRESHOLD; 2008; Catalan; Pass)

Although we are really happy with your new and, maybe, better job, we are really going to miss you. (Uruguay; B1 THRESHOLD; 2002; Spanish - Latin American; Pass)"
405,FUTURE,future with be going to,B1,N/A,USE: FUTURE IN THE PAST,Can use the past form of 'be going to' to refer to the future from a point in the past. ► future in the past,"She didn't know what was going to happen. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

We were going to meet two days later in the square next to the centre. (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)"
406,FUTURE,future with be going to,B1,N/A,USE: INTENTIONS,Can use the negative form of 'be going to' to talk about plans and intentions.,"I'm not going to be able to meet you next Tuesday, because I have to go to the dentist at 5.30. (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)

I'm sure I'm not going to live in Kutná Hora forever. (Czech Republic; B1 THRESHOLD; 2007; Czech; Pass)"
407,FUTURE,future with be going to,B1,N/A,USE: PLANS IN THE PAST,"Can use the past form of 'be going to' (often followed by 'but') to talk about a plan, sometimes one that may have changed.  ","We were going to get married two months ago but we broke up and I really didn't know why. (Mexico; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

We were going to have a cup of coffee on Tuesday morning, do you remember? (Italy; B1 THRESHOLD; 2008; Italian; Pass)"
408,FUTURE,future with be going to,B1,2,USE: PREDICTIONS,Can use 'be going to' with an increasing range of verbs to make predictions.,"I think you're going to like it. (Germany; B1 THRESHOLD; 2008; German; Pass)

And don't you think you are going to miss your parents? (Netherlands; B1 THRESHOLD; 2008; Dutch; Pass)

I think I am going to enjoy that class. (France; B1 THRESHOLD; 2002; French; Pass)

I think that I am not going to sleep tonight because tomorrow is an exciting and interesting day. (Spain; B1 THRESHOLD; 2001; Spanish - European; Pass)

As a matter of fact, apart from teenagers programmes and children's cartoons, there is not much to watch, and this is not going to teach you many things about life! (France; B1 THRESHOLD; 2010; French; Pass)"
409,FUTURE,future with be going to,B1,N/A,USE: REPORTING,Can use the past form of 'be going to' as the reported form.► reported speech,"Fortunately, he was told his boss was going to be a bit late, so he had some time to go back home. (Peru; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

I was very worried but at the end he called me and told me he and his family were fine and that he was going to arrive tomorrow. (Mexico; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)"
410,FUTURE,future with be going to,C1,2,FORM: WITH ADVERBS,Can use 'be' + 'going to' with an increasing range of adverbs (particularly adverbs of certainty) in the normal mid position.,"Mario Soares is already an old man, nearly 70, who is probably going to finish his active political life in 2 or 3 years. (Portugal; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Portuguese; Pass)

As the new store is going to be the first and only one in Moscow, and, to make matters worse, it is going to be located close to our most successful outlet, it is undoubtedly going to have a detrimental effect on our company. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2010; Polish; Pass)

Additionally, many British people stay at ""Tall Trees Campsite"", so I guess we would be forced to speak English all the time, which is also great because it is surely going to help us to improve our English skills. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; German; Pass)"
